word,association
^true,truth
^truth,truth
untruth,truth
untrue,truth
false,truth
reality,facts
alternative_fact,facts
^fact(s|u|$),facts
concrete,facts
mislead,facts
innaccura,facts
misinformation,facts
^information,facts
prov[ae],facts
demonstra,facts
correct,correction
retract,correction
error,correction
wrong$,correction
catch,correction
admit,correction
sneaky,correction
caught,correction
reveal,correction
mistake,correction
anonymous,sourcing
unnamed,sourcing
analysis,sourcing
poorly-sourced,sourcing
unsubstantiated,sourcing
number,sourcing
data,sourcing
research,sourcing
figure,sourcing
evidence,sourcing
reason(s|$),sourcing
explanation,sourcing
apparently,sourcing
reported,sourcing
report$,sourcing
claim,sourcing
filter$,manipulation
^select,manipulation
filter_bubble,manipulation
distort,manipulation
bias,manipulation
twist,manipulation
misrepresent,manipulation
focus,manipulation
highlight,manipulation
frame,manipulation
maxmimi[sz]e,manipulation
minimi[sz]e,manipulation
manipulat,manipulation
euphemis,manipulation
hyperbol,manipulation
grey_area,manipulation
interpret,manipulation
half-truth,manipulation
narrat,manipulation
^honest,honesty
dishonest,honesty
lie,honesty
lying,honesty
witch-hunt,purpose
grudg,purpose
aim,purpose
deception,purpose
decieve,purpose
deceitful,purpose
deliberate,purpose
intention,purpose
ploy,purpose
purpose,purpose
malicious,purpose
do.*best,purpose
did.*best,purpose
effort,purpose
ensure,purpose
try,purpose
tried,purpose
